t;Δ=0%;Δ=5%;Δ=10%;Δ=15%
1;0.008;0.059;0.118;0.166
2;0.053;0.216;0.345;0.456
3;0.086;0.32;0.48;0.596
4;0.106;0.382;0.554;0.678
5;0.128;0.441;0.624;0.739
6;0.157;0.489;0.674;0.784
7;0.176;0.533;0.72;0.819
8;0.194;0.568;0.753;0.843
9;0.21;0.594;0.776;0.861
10;0.222;0.614;0.796;0.872
11;0.237;0.634;0.806;0.875
12;0.244;0.654;0.816;0.882
13;0.254;0.669;0.824;0.88
14;0.266;0.682;0.828;0.882
15;0.271;0.69;0.829;0.876
16;0.284;0.694;0.825;0.868
17;0.296;0.7;0.822;0.86
18;0.308;0.707;0.822;0.857
19;0.31;0.706;0.816;0.848
20;0.318;0.708;0.813;0.841
21;0.328;0.708;0.808;0.834
22;0.33;0.709;0.8;0.824
23;0.337;0.708;0.796;0.819
24;0.346;0.709;0.792;0.814
25;0.344;0.706;0.786;0.807
26;0.348;0.706;0.78;0.8
27;0.357;0.705;0.774;0.793
28;0.359;0.703;0.768;0.786
29;0.36;0.696;0.76;0.777
30;0.36;0.69;0.75;0.768
31;0.356;0.682;0.74;0.758
32;0.358;0.675;0.73;0.748
33;0.36;0.67;0.722;0.74
34;0.358;0.663;0.712;0.73
35;0.354;0.652;0.7;0.72
36;0.352;0.644;0.692;0.712
37;0.352;0.636;0.681;0.702
38;0.348;0.629;0.672;0.694
39;0.344;0.621;0.664;0.686
40;0.344;0.613;0.656;0.678
41;0.346;0.609;0.65;0.672
42;0.346;0.6;0.64;0.663
43;0.346;0.592;0.63;0.653
44;0.343;0.584;0.624;0.646
45;0.34;0.573;0.611;0.634
46;0.34;0.566;0.603;0.626
47;0.337;0.554;0.59;0.615
48;0.339;0.547;0.581;0.606
49;0.334;0.539;0.573;0.599
50;0.332;0.529;0.564;0.591
51;0.33;0.518;0.553;0.582
52;0.332;0.512;0.547;0.576
53;0.328;0.501;0.536;0.566
54;0.32;0.49;0.524;0.556
55;0.322;0.483;0.518;0.55
56;0.316;0.473;0.507;0.54
57;0.312;0.462;0.496;0.53
58;0.308;0.451;0.485;0.52
59;0.302;0.44;0.476;0.511
60;0.294;0.429;0.465;0.501
61;0.292;0.421;0.458;0.494
62;0.286;0.411;0.448;0.486
63;0.28;0.4;0.438;0.476
64;0.279;0.395;0.432;0.472
65;0.278;0.39;0.428;0.467
66;0.274;0.382;0.42;0.46
67;0.266;0.37;0.408;0.449
68;0.254;0.356;0.395;0.436
69;0.252;0.348;0.388;0.428
70;0.248;0.339;0.379;0.42
71;0.244;0.331;0.372;0.413
72;0.238;0.323;0.364;0.405
73;0.236;0.316;0.356;0.398
74;0.234;0.31;0.351;0.394
75;0.227;0.3;0.341;0.384
76;0.224;0.294;0.334;0.378
77;0.215;0.283;0.326;0.369
78;0.21;0.276;0.318;0.363
79;0.2;0.264;0.308;0.354
80;0.191;0.255;0.3;0.344
81;0.18;0.244;0.29;0.334
82;0.17;0.232;0.278;0.323
83;0.156;0.218;0.264;0.31
84;0.152;0.211;0.257;0.303
85;0.142;0.199;0.246;0.292
86;0.129;0.186;0.233;0.28
87;0.12;0.178;0.225;0.272
88;0.112;0.17;0.218;0.266
89;0.104;0.162;0.21;0.258
90;0.096;0.152;0.202;0.25
91;0.088;0.142;0.193;0.242
92;0.078;0.131;0.182;0.23
93;0.07;0.123;0.174;0.222
94;0.06;0.112;0.165;0.214
95;0.054;0.106;0.159;0.208
96;0.045;0.097;0.15;0.2
97;0.036;0.088;0.143;0.193
98;0.031;0.084;0.138;0.188
99;0.021;0.074;0.129;0.18
